stream,composition_group,stream_aadtt_dir,bridge,system,span_m,n_girders,load_effect,unit,lane_layout,governing_section,governing_girder,threshold_u,n_exceedances,max_observed_30d,gpd_shape_xi,gpd_scale_sigma,q117,q117_over_max_observed,tail_fraction_pct,ks_statistic,ks_critical,ks_pass,gpd_support_ok
PR,intermediate,7699,C-20,two_span_continuous,20,2,M+,kN.m,3s,first_span_0.4L,1,1525.035,2828,2705.889,-2.43249e-10,146.1919,3748.351,1.3853,2.007,0.01697,0.02557,True,True
PR,intermediate,7699,C-20,two_span_continuous,20,2,M+,kN.m,3o,first_span_0.4L,1,1533.533,3083,2479.159,-2.43593e-10,135.5157,3606.182,1.4546,2.1,0.02262,0.02449,True,True
RJ,light,6230,C-20,two_span_continuous,20,2,M+,kN.m,2o,first_span_0.4L,1,1547.248,789,2453.749,-0.0196585,125.8393,3080.819,1.2556,0.967,0.02418,0.04842,True,True
RJ,light,6230,C-20,two_span_continuous,20,2,M+,kN.m,2s,first_span_0.4L,1,1530.735,668,2453.749,-0.0160196,128.2313,3114.793,1.2694,0.972,0.03057,0.05262,True,True
RJ,light,6230,C-20,two_span_continuous,20,2,M+,kN.m,3s,first_span_0.4L,1,1525.035,775,2453.749,-0.0322126,143.1942,3130.769,1.2759,1.102,0.0403,0.04885,True,True
RJ,light,6230,C-20,two_span_continuous,20,2,M+,kN.m,3o,first_span_0.4L,1,1533.533,778,2446.025,-0.0129736,137.4181,3283.338,1.3423,1.054,0.02578,0.04876,True,True
SC,intermediate,8414,C-20,two_span_continuous,20,2,M+,kN.m,2o,first_span_0.4L,1,1547.248,2862,2457.748,-1.5087e-10,117.4799,3335.31,1.3571,1.732,0.01446,0.02542,True,True
SC,intermediate,8414,C-20,two_span_continuous,20,2,M+,kN.m,2s,first_span_0.4L,1,1530.735,2067,2462.417,-2.55033e-10,116.3232,3263.336,1.3253,1.472,0.01408,0.02991,True,True
SC,intermediate,8414,C-20,two_span_continuous,20,2,M+,kN.m,3s,first_span_0.4L,1,1525.035,2577,2744.067,-0.00544734,139.899,3554.929,1.2955,1.797,0.01694,0.02679,True,True
SC,intermediate,8414,C-20,two_span_continuous,20,2,M+,kN.m,3o,first_span_0.4L,1,1533.533,2739,2462.417,-0.00396706,135.4819,3528.966,1.4331,1.829,0.01524,0.02599,True,True
SP,light,7499,C-20,two_span_continuous,20,2,M+,kN.m,2o,first_span_0.4L,1,1547.248,1604,2423.408,-1.18127e-10,117.552,3268.342,1.3487,1.235,0.01985,0.03396,True,True
SP,light,7499,C-20,two_span_continuous,20,2,M+,kN.m,2s,first_span_0.4L,1,1530.735,1221,2347.101,-2.43505e-10,118.9411,3239.717,1.3803,1.111,0.02846,0.03892,True,True
SP,light,7499,C-20,two_span_continuous,20,2,M+,kN.m,3s,first_span_0.4L,1,1525.035,1494,2649.188,-3.57725e-10,131.5588,3441.859,1.2992,1.333,0.01581,0.03519,True,True
SP,light,7499,C-20,two_span_continuous,20,2,M+,kN.m,3o,first_span_0.4L,1,1533.533,1538,2704.196,-1.60129e-10,132.3895,3466.302,1.2818,1.31,0.02768,0.03468,True,True
ROSSIGALI,,7019,C-20,two_span_continuous,20,2,M+,kN.m,2o,first_span_0.4L,1,1547.248,837,2264.451,-1.6677e-10,99.6607,2941.572,1.299,1.111,0.02038,0.04701,True,True
ROSSIGALI,,7019,C-20,two_span_continuous,20,2,M+,kN.m,2s,first_span_0.4L,1,1530.735,602,2264.451,-1.77847e-10,99.0918,2884.441,1.2738,0.965,0.02343,0.05543,True,True
ROSSIGALI,,7019,C-20,two_span_continuous,20,2,M+,kN.m,3s,first_span_0.4L,1,1525.035,724,2253.773,-0.00050121,122.6628,3217.504,1.4276,1.098,0.02209,0.05054,True,True
ROSSIGALI,,7019,C-20,two_span_continuous,20,2,M+,kN.m,3o,first_span_0.4L,1,1533.533,775,2265.092,-1.01158e-10,117.1724,3163.839,1.3968,1.121,0.03187,0.04885,True,True
MG,intermediate,6470,C-20,two_span_continuous,20,2,M-,kN.m,2o,central_support,1,1384.051,2158,2288.5,-0.0200718,104.8882,2737.78,1.1963,2.779,0.01283,0.02928,True,True
MG,intermediate,6470,C-20,two_span_continuous,20,2,M-,kN.m,2s,central_support,1,1354.831,1897,2161.116,-3.49543e-10,94.7348,2757.749,1.2761,3.043,0.02255,0.03123,True,True
MG,intermediate,6470,C-20,two_span_continuous,20,2,M-,kN.m,3s,central_support,1,1348.354,2131,2382.293,-1.198e-10,112.3724,3025.536,1.27,3.422,0.03867,0.02946,False,True
MG,intermediate,6470,C-20,two_span_continuous,20,2,M-,kN.m,3o,central_support,1,1358.904,2300,2252.961,-1.12295e-10,108.6746,2989.19,1.3268,3.402,0.02378,0.02836,True,True
MT,heavy,4232,C-20,two_span_continuous,20,2,M-,kN.m,2o,central_support,1,1384.051,5097,2305.104,-0.0378092,109.8627,2690.735,1.1673,6.356,0.00691,0.01905,True,True
MT,heavy,4232,C-20,two_span_continuous,20,2,M-,kN.m,2s,central_support,1,1354.831,4727,2305.104,-0.000184384,99.1099,2910.773,1.2628,7.063,0.01007,0.01978,True,True
MT,heavy,4232,C-20,two_span_continuous,20,2,M-,kN.m,3s,central_support,1,1348.354,5116,2566.983,-1.37028e-10,113.6313,3143.842,1.2247,7.399,0.02288,0.01901,False,True
MT,heavy,4232,C-20,two_span_continuous,20,2,M-,kN.m,3o,central_support,1,1358.904,5391,2337.473,-1.31227e-10,115.1109,3183.799,1.3621,7.408,0.02619,0.01852,False,True
