bridge,bridge_slug,effort,model,rule,Q117,ratio_tb45,selected_uf,selected_cen,selected_effect,relative_to_q90_pct
C-20,lc20,M-,Weibull3P,q95,3426.354440715206,1.47408124277887,SP,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,-0.5600268373606943
C-20,lc20,M-,Weibull3P,frac058,3883.5577598512336,1.6707785922608989,SP,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,12.708969867856457
C-20,lc20,M-,GPD,q90,4334.178461571774,1.864643977616492,MT,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,25.78692524607087
C-20,lc20,M-,GumbelDailyMax,block,2978.4170549272517,1.2813702697157339,MT,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,-13.560106774216042
C-30,lc30,M+,Weibull3P,q85,7699.124752040438,1.6129901852091757,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,-0.16379862369990672
C-30,lc30,M+,Weibull3P,q90,7711.756503055531,1.6156365756841387,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,0.0
C-30,lc30,M+,Weibull3P,q925,7698.540913209539,1.6128678691882887,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,-0.17136938699705562
C-30,lc30,M+,Weibull3P,q95,7658.882399211317,1.6045592892003933,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,-0.6856298409222861
C-30,lc30,M+,Weibull3P,frac058,9555.23554901822,2.0018510745450055,MG,cen6,MOMENTO_(+)_INICIO_LONG_1,23.904788036710855
C-30,lc30,M+,GPD,q90,10466.645569655699,2.1927942616390887,MT,cen6,MOMENTO_(+)_FIM_LONG_1,35.72323718349553
C-30,lc30,M+,GumbelDailyMax,block,6688.37021976688,1.4012340190578396,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,-13.270469352645764
C-30,lc30,V,Weibull3P,q85,1526.9414238370262,1.5927207925701743,MT,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1.3541835140745917
C-30,lc30,V,Weibull3P,q90,1506.5401060874678,1.571440602990996,MT,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,0.0
C-30,lc30,V,Weibull3P,q925,1494.0254422756013,1.5583868178529272,MT,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,-0.8306890577488457
C-30,lc30,V,Weibull3P,q95,1516.3336128607993,1.5816560059046618,MG,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,0.650066117308068
C-30,lc30,V,Weibull3P,frac058,1970.2962192443254,2.055174944450115,MG,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,30.782858769106824
C-30,lc30,V,GPD,q90,2005.4527070314357,2.091845944540978,MT,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,33.1164499987763
C-30,lc30,V,GumbelDailyMax,block,1341.9582537063795,1.3997687010601643,MT,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,-10.924491934603232
C-30,lc30,M-,Weibull3P,q85,5576.460607344109,1.193361853954527,MT,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,3.0324552426647777
C-30,lc30,M-,Weibull3P,q90,5412.334001174951,1.1582387813081707,MT,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.0
C-30,lc30,M-,Weibull3P,q925,5272.370231202557,1.1282865525054158,MT,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,-2.5860150157401396
C-30,lc30,M-,Weibull3P,q95,5284.103559848316,1.1307974833290497,PR,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,-2.3692263134314606
C-30,lc30,M-,Weibull3P,frac058,5511.655306893934,1.1794935279791852,MG,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1.8350919528880016
C-30,lc30,M-,GPD,q90,7991.250002956884,1.7101264745568885,MT,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,47.64887017730395
C-30,lc30,M-,GumbelDailyMax,block,5104.539038303479,1.0923706987745254,MT,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,-5.686917378060052
C-40,lc40_5lg,M+,Weibull3P,q85,5135.841020121723,1.5093428806893712,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,1.1402375428202216
C-40,lc40_5lg,M+,Weibull3P,q90,5077.940436858612,1.4923268101385994,MT,cen6,MOMENTO_(+)_INICIO_LONG_1,0.0
C-40,lc40_5lg,M+,Weibull3P,q925,5054.930452479425,1.4855645377139992,MT,cen6,MOMENTO_(+)_INICIO_LONG_1,-0.45313616150688407
C-40,lc40_5lg,M+,Weibull3P,q95,5021.027407542092,1.4756009661569025,MT,cen6,MOMENTO_(+)_INICIO_LONG_1,-1.1207896198114575
C-40,lc40_5lg,M+,Weibull3P,frac058,5125.789879743447,1.506389008652966,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,0.9423001998510427
C-40,lc40_5lg,M+,GPD,q90,5781.230699234516,1.6990127543522837,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,13.849911615170175
C-40,lc40_5lg,M+,GumbelDailyMax,block,4575.381830997163,1.3446327419393902,MT,cen6,MOMENTO_(+)_INICIO_LONG_1,-9.896898400256715
C-40,lc40_5lg,V,Weibull3P,q85,780.9144598902146,1.4885902780980071,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,0.4571413441399219
C-40,lc40_5lg,V,Weibull3P,q90,777.3608221788888,1.4818162832231963,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,0.0
C-40,lc40_5lg,V,Weibull3P,q925,773.3115589389112,1.4740975198988013,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,-0.5208988058631348
C-40,lc40_5lg,V,Weibull3P,q95,767.160663211271,1.4623725947603334,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,-1.3121524363715054
C-40,lc40_5lg,V,Weibull3P,frac058,781.6789819297393,1.4900476209106734,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,0.555489758121186
C-40,lc40_5lg,V,GPD,q90,901.8990164230006,1.7192127648170046,PR,cen4,CORTANTE_APOIO_CENTRAL_LONG_1,16.020641983865325
C-40,lc40_5lg,V,GumbelDailyMax,block,821.6817352715021,1.5663014397093062,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,5.701459583258228
C-40,lc40_5lg,M-,Weibull3P,q85,4078.2667452495352,1.2395947553949955,SP,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.0
C-40,lc40_5lg,M-,Weibull3P,q90,4078.2667452495352,1.2395947553949955,SP,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.0
C-40,lc40_5lg,M-,Weibull3P,q925,4078.2667452495352,1.2395947553949955,SP,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.0
C-40,lc40_5lg,M-,Weibull3P,q95,4078.2667452495352,1.2395947553949955,SP,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.0
C-40,lc40_5lg,M-,Weibull3P,frac058,4071.135593652009,1.2374272321130726,SP,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,-0.17485740985021536
C-40,lc40_5lg,M-,GPD,q90,5176.7809692281135,1.5734896563003384,MG,cen4,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,26.935811034385004
C-40,lc40_5lg,M-,GumbelDailyMax,block,3348.6743481099347,1.0178341483616822,SP,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,-17.889766479582224
C-50,lc50_5lg,M+,Weibull3P,q85,6959.591632912275,1.444288217343324,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,1.4344413034925063
C-50,lc50_5lg,M+,Weibull3P,q90,6861.172145749915,1.4238637279245263,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,0.0
C-50,lc50_5lg,M+,Weibull3P,q925,6792.984862290157,1.409713172077564,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,-0.9938139141720259
C-50,lc50_5lg,M+,Weibull3P,q95,6691.724939398212,1.3886992216569225,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,-2.469653912657843
C-50,lc50_5lg,M+,Weibull3P,frac058,6854.400087401527,1.4224583575241305,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,-0.09870118697695718
C-50,lc50_5lg,M+,GPD,q90,7971.656821705752,1.654316894952114,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,16.185057776807366
C-50,lc50_5lg,M+,GumbelDailyMax,block,6511.526386773809,1.351303543854942,MT,cen8,MOMENTO_(+)_INICIO_LONG_1,-5.096006215099724
C-50,lc50_5lg,V,Weibull3P,q85,824.313394142828,1.3584597794047923,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,0.707961968348636
C-50,lc50_5lg,V,Weibull3P,q90,818.518593794898,1.348910009549931,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,0.0
C-50,lc50_5lg,V,Weibull3P,q925,812.4671405690402,1.3389372784591962,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,-0.7393177469312562
C-50,lc50_5lg,V,Weibull3P,q95,804.4242747362025,1.3256827203958512,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,-1.7219302243764556
C-50,lc50_5lg,V,Weibull3P,frac058,822.9882480548513,1.3562759526282981,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,0.5460663073309835
C-50,lc50_5lg,V,GPD,q90,944.8349122163336,1.5570779700335096,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,15.432308976121757
C-50,lc50_5lg,V,GumbelDailyMax,block,850.1897681021558,1.40110377076822,PR,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,3.8693286319154474
C-50,lc50_5lg,M-,Weibull3P,q85,5178.723040780316,1.0461644056361998,SP,cen4,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.0
C-50,lc50_5lg,M-,Weibull3P,q90,5178.723040780316,1.0461644056361998,SP,cen4,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.0
C-50,lc50_5lg,M-,Weibull3P,q925,5178.723040780316,1.0461644056361998,SP,cen4,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.0
C-50,lc50_5lg,M-,Weibull3P,q95,5178.723040780316,1.0461644056361998,SP,cen4,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.0
C-50,lc50_5lg,M-,Weibull3P,frac058,5297.29615475621,1.0701176022698498,MT,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,2.2896206852959455
C-50,lc50_5lg,M-,GPD,q90,5184.761064951081,1.0473841592160076,SP,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.11659291534258376
