bridge,variant,paper_effort,worst_cen,effect,unit,n_peaks,mean,std,skewness,kurtosis,weibull_k,weibull_alpha,weibull_u,N_TR117,Q_TR117,R_TR117,N_TR174,Q_TR174,R_TR174
lb20,sp,M+,cen8,MOMENTO_MEIO_VAO_LONG_1,kN.m,5195,1994.6383532049822,197.70701458540893,1.591370055980214,5.81960669028664,1.1646733189001681,242.0906765475158,1765.0746986025163,7395082.5,4356.519499767479,0.0071083330294941915,10997815.0,4412.254640927945,0.007133285315522932
lb20,sp,V,cen8,CORTANTE_APOIO_INICIO_LONG_1,kN,5504,454.48039502477224,43.06166124958973,1.729439163881025,6.484211682265152,1.1019224296323955,49.141336411584284,407.0905126363548,7834944.0,1011.1480630507554,0.028957558019814755,11651968.0,1024.837980740081,0.029023775841320976
lb30,mg,M+,cen8,MOMENTO_MEIO_VAO_LONG_1,kN.m,3063,4448.899066060698,398.3125445061457,1.4823074855739389,5.6969700319599355,1.2206238854676488,516.4646707153348,3965.1598377735386,4360180.5,8788.237261167495,0.0038690913776398914,6484371.0,8890.576434958808,0.0038870560018391745
lb30,mg,V,cen8,CORTANTE_APOIO_INICIO_LONG_1,kN,2919,636.3599329246215,55.66343706357464,1.528151418146178,5.838966637387012,1.196356397401542,70.44656132876565,570.0417744504194,4155196.5,1256.604013966389,0.02655595553142715,6179523.0,1271.5174906697493,0.026668247280599282
lb30,mt,M+,cen8,MOMENTO_MEIO_VAO_LONG_1,kN.m,6530,4817.968034387484,442.6372223893271,1.3117646166250476,4.83822464776147,1.3217499714344738,629.5917480008283,4238.382344644126,9295455.0,9378.664339555984,0.004125751479422364,13824010.0,9474.573795377302,0.004150364665179219
lb30,mt,V,cen6,CORTANTE_APOIO_INICIO_LONG_1,kN,7309,677.3384135663562,62.67575454015912,1.336205969023956,4.921406685212921,1.306110466644168,87.95206851951934,596.1841065955515,10404361.5,1336.5064633749234,0.028506214162041344,15473153.0,1350.389414489281,0.028668796585063765
lb30,orig,M+,cen8,MOMENTO_MEIO_VAO_LONG_1,kN.m,5150,3497.868680262294,336.71981842633863,1.8424157707104558,6.958935624236238,1.0563223727047444,363.3041474337599,3142.3332436812047,7331025.0,8099.280193167939,0.003368595441523335,10902550.0,8217.020074282626,0.003373052196883726
lb30,orig,V,cen6,CORTANTE_APOIO_INICIO_LONG_1,kN,5137,495.765750583801,46.09293194498285,1.9488617706535436,7.689304169195561,1.0174285759218038,47.230629967618086,448.8714905494838,7312519.5,1160.8805482059674,0.022584767177228335,10875029.0,1178.4497672906982,0.022594364117155562
lb30,pb,M+,cen6,MOMENTO_MEIO_VAO_LONG_1,kN.m,1998,3966.085007070754,339.6653815462692,1.8025004110535627,7.3613106517526665,1.0718937728554012,373.7570884544817,3602.2426761121537,2844153.0,8236.926036443032,0.003436949597641841,4229766.0,8352.298469164249,0.003443030668711111
lb30,pb,V,cen6,CORTANTE_APOIO_INICIO_LONG_1,kN,2036,566.9078142243575,48.36375233056856,1.883837067051422,7.791757026414482,1.0407476231455801,51.13756368491652,516.5846865256281,2898246.0,1201.16143916078,0.022621167344180758,4310212.0,1218.6970515152875,0.022644493119299062
lb30,pr,M+,cen8,MOMENTO_MEIO_VAO_LONG_1,kN.m,1001,4956.346750038718,381.341051023895,1.8294747932040623,8.185335569684732,1.0613088976591825,414.07100650766955,4551.82573365766,1424923.5,9585.933146408208,0.002987292834261805,2119117.0,9718.683242025574,0.002992063686553626
lb30,pr,V,cen6,CORTANTE_APOIO_INICIO_LONG_1,kN,1252,692.1869464835519,53.07516648310043,1.8985186129816947,8.640689043774337,1.0353645654395225,55.72080683449368,637.2442001587438,1782222.0,1369.429490570691,0.020353299882368323,2650484.0,1388.9200017425683,0.02037221852073421
lb30,rj,M+,cen6,MOMENTO_MEIO_VAO_LONG_1,kN.m,1795,4036.630590800893,378.57195574532534,1.7576026547692079,6.9975004205763724,1.0901047860272226,425.96824375568616,3624.3678387203927,2555182.5,8655.4169296683,0.0031967502145787263,3800015.0,8779.43173383926,0.003203772033071715
