bridge_label,family,span_m,effort,uf,gov_cen,gov_effect,gov_girder,Q141,Q117,Q174,weibull_k,weibull_alpha,weibull_u,unit,n_peaks,source
S-30,S,30,M+,rj,cen8,MOMENTO_MEIO_VAO_LONG_1,1,8185.0,8126.5,8250.8,1.0084,322.956,3444.639,kN.m,1928,2lg
S-30,S,30,M+,sc,cen6,MOMENTO_MEIO_VAO_LONG_1,1,8763.4,8703.4,8831.0,1.0087,332.297,3601.587,kN.m,4730,2lg
S-30,S,30,M+,sp,cen6,MOMENTO_MEIO_VAO_LONG_1,1,9181.1,9106.6,9265.2,0.907,273.721,3580.47,kN.m,2994,2lg
C-40,C,40,V,mg,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,1,761.6,756.5,767.4,0.995,26.863,368.137,kN,1104,5lg
C-40,C,40,V,mt,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,1,762.0,757.3,767.3,1.0099,26.095,369.161,kN,3025,5lg
C-40,C,40,V,pb,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,1,755.0,748.6,762.3,0.8877,22.319,362.514,kN,200,5lg
C-40,C,40,V,pr,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,1,782.7,777.4,788.7,0.9747,25.957,366.84,kN,1783,5lg
C-40,C,40,V,rj,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,1,702.6,698.0,707.7,1.0335,27.651,370.288,kN,274,5lg
C-40,C,40,V,sc,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,1,714.2,709.9,719.1,1.0241,25.323,367.671,kN,1249,5lg
C-40,C,40,V,sp,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,764.2,758.3,770.9,0.9026,21.616,367.771,kN,583,5lg
C-40,C,40,M+,mg,cen6,MOMENTO_(+)_INICIO_LONG_1,1,4941.9,4907.7,4980.4,0.9839,172.06,2048.284,kN.m,5564,5lg
C-40,C,40,M+,mt,cen6,MOMENTO_(+)_INICIO_LONG_1,1,5111.8,5077.9,5149.9,1.0038,183.83,2170.753,kN.m,6120,5lg
C-40,C,40,M+,pb,cen2,MOMENTO_(+)_INICIO_LONG_1,1,4548.5,4513.2,4588.3,0.9325,145.5,2011.509,kN.m,1023,5lg
C-40,C,40,M+,pr,cen8,MOMENTO_(+)_INICIO_LONG_1,1,5038.8,5003.8,5078.2,0.9769,171.318,2049.716,kN.m,7209,5lg
C-40,C,40,M+,rj,cen2,MOMENTO_(+)_INICIO_LONG_1,1,4400.6,4372.7,4432.0,1.0892,203.89,1864.437,kN.m,3393,5lg
C-40,C,40,M+,sc,cen6,MOMENTO_(+)_INICIO_LONG_1,1,4621.7,4592.9,4654.2,1.0434,180.775,2008.457,kN.m,6533,5lg
C-40,C,40,M+,sp,cen8,MOMENTO_(+)_INICIO_LONG_1,1,4707.2,4674.4,4744.2,0.9785,161.877,1972.407,kN.m,4682,5lg
C-40,C,40,M-,mg,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,3600.3,3572.2,3632.0,0.9489,124.65,1778.323,kN.m,200,5lg
C-40,C,40,M-,mt,cen4,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,3688.7,3659.8,3721.2,0.9489,128.129,1815.839,kN.m,200,5lg
C-40,C,40,M-,pb,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,3225.2,3194.8,3259.5,0.8786,103.264,1697.685,kN.m,25,5lg
C-40,C,40,M-,pr,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,3522.9,3500.3,3548.3,1.0851,160.325,1849.174,kN.m,200,5lg
C-40,C,40,M-,rj,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,3132.9,3109.6,3159.2,1.0137,130.974,1695.54,kN.m,49,5lg
C-40,C,40,M-,sc,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,3273.9,3258.8,3290.8,1.3573,213.985,1878.338,kN.m,200,5lg
C-40,C,40,M-,sp,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,4117.7,4078.3,4162.2,0.8895,137.065,1720.702,kN.m,200,5lg
S-40,S,40,V,mg,cen8,CORTANTE_APOIO_INICIO_LONG_1,1,725.3,720.7,730.5,1.0373,28.105,360.455,kN,930,5lg
S-40,S,40,V,mt,cen6,CORTANTE_APOIO_INICIO_LONG_1,1,770.7,765.7,776.5,0.9896,26.247,364.609,kN,1979,5lg
