UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used,vmda_group_share,scaled,share_scaled_by_vmda,fallback_all_umos
BA,E,3I3,0.1476197644854811,2,7217,0.16884983503740242,0.024925572881633676,0.02492557288163368,False
BA,E,3I1,0.0029907667603372144,2,7217,0.16884983503740242,0.0005049904741182851,0.0005049904741182852,False
BA,F,3T4,0.8799438990182329,2,7217,0.050468755104040766,0.04440967314484597,0.04440967314484598,False
BA,F,4DT,0.10635811126694716,2,7217,0.050468755104040766,0.005367761470859876,0.005367761470859877,False
BA,F,3D4,0.01369798971482001,2,7217,0.050468755104040766,0.0006913204883349203,0.0006913204883349204,False
BA,G,3V5,1.0,2,7217,0.005030542579949695,0.005030542579949695,0.005030542579949696,False
BA,H,3M6,0.5795130795130795,2,7217,0.0733675236010845,0.04251743953831302,0.04251743953831303,False
BA,H,3T6,0.4204869204869205,2,7217,0.0733675236010845,0.030850084062771482,0.030850084062771486,False
CE,A,2C,0.9866310160427807,2,2203,0.3741132545115121,0.3691117404137646,0.36994048075646735,False
CE,A,2CC,0.013368983957219251,2,2203,0.3741132545115121,0.005001514097747488,0.00501274364168655,False
CE,B,3C,0.9990215264187867,2,2203,0.23783447417548226,0.2376017594257998,0.2381352297600476,False
CE,B,2I1,0.0009784735812133072,2,2203,0.23783447417548226,0.00023271474968246795,0.0002332372475612611,False
CE,C,4CD,0.8205949656750572,2,2203,0.1193528313627878,0.09794033255536774,0.0981602310193813,False
CE,C,2S2,0.13569794050343248,2,2203,0.1193528313627878,0.01619593340918379,0.016232296986752125,False
CE,C,2I2,0.04370709382151029,2,2203,0.1193528313627878,0.005216565398236263,0.005228277781567716,False
CE,D,2S3,0.925258918296893,2,2203,0.07654013690105788,0.07081944427536892,0.07097845013753142,False
CE,D,3I2,0.030840046029919445,2,2203,0.07654013690105788,0.002360501345164961,0.0023658012109767325,False
CE,D,2I3,0.024913693901035674,2,2203,0.07654013690105788,0.001906897541896321,0.0019111789633450096,False
CE,D,3S2,0.015822784810126583,2,2203,0.07654013690105788,0.0012110781155230677,0.0012137972630944056,False
CE,D,3C2,0.0031645569620253164,2,2203,0.07654013690105788,0.00024221562310461353,0.00024275945261888112,False
CE,E,3S3,0.7398889568052159,2,2203,0.11586807716241444,0.08572951073872509,0.08592199311284224,False
CE,E,3I3,0.2392777098614507,2,2203,0.11586807716241444,0.027724648149472383,0.027786896330424176,False
CE,E,2D4,0.018229166666666668,2,2203,0.11586807716241444,0.0021121784899398467,0.002116920814103364,False
CE,E,3I1,0.0026041666666666665,2,2203,0.11586807716241444,0.0003017397842771209,0.0003024172591576234,False
CE,F,3T4,0.9553571428571429,2,2203,0.02713130056004978,0.02592008178504756,0.02597827830146653,False
CE,F,4DT,0.03273809523809524,2,2203,0.02713130056004978,0.0008882271016682965,0.0008902213748166101,False
CE,F,4R3,0.011904761904761906,2,2203,0.02713130056004978,0.000322991673333926,0.0003237168635696764,False
CE,H,3M6,0.5055128633478115,2,2203,0.04691972619788426,0.0237185251377878,0.023771778655622425,False
CE,H,3T6,0.49448713665218846,2,2203,0.04691972619788426,0.02320120106009646,0.02325329306696708,False
DF,A,2C,0.9979101358411703,1,5781,0.45901639344262296,0.4580571115336519,0.4580571115336519,False
DF,A,2CC,0.0020898641588296763,1,5781,0.45901639344262296,0.0009592819089709989,0.0009592819089709989,False
DF,B,3C,1.0,1,5781,0.2766393442622951,0.2766393442622951,0.2766393442622951,False
DF,C,4CD,0.8501742160278746,1,5781,0.125,0.10627177700348432,0.10627177700348432,False
DF,C,2S2,0.07665505226480836,1,5781,0.125,0.009581881533101045,0.009581881533101045,False
DF,C,2I2,0.06968641114982578,1,5781,0.125,0.008710801393728223,0.008710801393728223,False
DF,C,2C2,0.003484320557491289,1,5781,0.125,0.00043554006968641115,0.00043554006968641115,False
DF,D,2S3,0.8715953307392996,1,5781,0.03278688524590164,0.028576896089813102,0.028576896089813102,False
DF,D,3I2,0.0622568093385214,1,5781,0.03278688524590164,0.002041206863558079,0.002041206863558079,False
DF,D,2I3,0.042801556420233464,1,5781,0.03278688524590164,0.0014033297186961792,0.0014033297186961792,False
DF,D,3S2,0.023346303501945526,1,5781,0.03278688524590164,0.0007654525738342796,0.0007654525738342796,False
DF,E,3S3,0.8534954407294832,1,5781,0.06147540983606557,0.05246898201205839,0.05246898201205839,False
DF,E,3I3,0.14103343465045592,1,5781,0.06147540983606557,0.00867008819572475,0.00867008819572475,False
DF,E,3I1,0.00303951367781155,1,5781,0.06147540983606557,0.000186855349045792,0.000186855349045792,False
DF,E,3C3,0.00182370820668693,1,5781,0.06147540983606557,0.0001121132094274752,0.0001121132094274752,False
DF,E,2R4,0.0006079027355623101,1,5781,0.06147540983606557,3.7371069809158405e-05,3.7371069809158405e-05,False
DF,F,3T4,0.9277929155313351,1,5781,0.020491803278688523,0.019012149908428998,0.019012149908428998,False
DF,F,4DT,0.0681198910081744,1,5781,0.020491803278688523,0.0013958994059052128,0.0013958994059052128,False
DF,F,4R3,0.0027247956403269754,1,5781,0.020491803278688523,5.583597623620851e-05,5.583597623620851e-05,False
DF,F,3D4,0.0013623978201634877,1,5781,0.020491803278688523,2.7917988118104253e-05,2.7917988118104253e-05,False
DF,G,3P5,0.2222222222222222,1,5781,0.0,0.0,0.0,False
DF,G,3V5,0.7777777777777778,1,5781,0.0,0.0,0.0,False
DF,H,3M6,0.5469387755102041,1,5781,0.02459016393442623,0.013449314151890265,0.013449314151890265,False
DF,H,3T6,0.4530612244897959,1,5781,0.02459016393442623,0.011140849782535964,0.011140849782535964,False
ES,A,2C,0.9956140350877193,2,11641,0.37985510163010666,0.3781890704826062,0.3781890704826061,False
ES,A,2CC,0.003289473684210526,2,11641,0.37985510163010666,0.0012495233606253508,0.0012495233606253505,False
ES,A,2CB,0.0010964912280701754,2,11641,0.37985510163010666,0.0004165077868751169,0.0004165077868751168,False
ES,B,3C,0.9859451612019613,2,11641,0.2048701952103039,0.20199077764210036,0.2019907776421003,False
ES,B,2I1,0.005574273427013998,2,11641,0.2048701952103039,0.0011420024851479674,0.0011420024851479672,False
ES,B,3BB,0.005300353356890461,2,11641,0.2048701952103039,0.001085884426909738,0.0010858844269097379,False
ES,B,3CB,0.002473498233215548,2,11641,0.2048701952103039,0.0005067460658912111,0.000506746065891211,False
ES,B,2S1,0.000706713780918728,2,11641,0.2048701952103039,0.00014478459025463175,0.00014478459025463173,False
ES,C,4CD,0.8026262441308414,2,11641,0.12668544978868987,0.10168106674992244,0.10168106674992242,False
