UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used
PA,H,3R6,0.0718339836821568,2,29608
PA,H,3T6,0.08690580177266144,2,29608
PB,A,2C,1.0,1,4560
PB,B,2S1,0.0015881418740074113,1,4560
PB,B,3C,0.9984118581259925,1,4560
PB,C,2I2,0.00906344410876133,1,4560
PB,C,2S2,0.054380664652567974,1,4560
PB,C,4CD,0.9365558912386707,1,4560
PB,D,2I3,0.03015075376884422,1,4560
PB,D,2S3,0.9447236180904522,1,4560
PB,D,3I2,0.005025125628140704,1,4560
PB,D,3S2,0.020100502512562814,1,4560
PB,E,2N4,0.001851851851851852,1,4560
PB,E,3I1,0.003703703703703704,1,4560
PB,E,3I3,0.337037037037037,1,4560
PB,E,3S3,0.6574074074074074,1,4560
PB,F,3T4,0.9696969696969697,1,4560
PB,F,4DT,0.030303030303030304,1,4560
PB,H,3M6,0.572289156626506,1,4560
PB,H,3T6,0.42771084337349397,1,4560
PE,A,2C,0.9903489590829745,9,26654
PE,A,2CC,0.009651040917025571,9,26654
PE,B,2I1,0.0017816112569667883,9,26654
PE,B,2S1,0.000772908914569137,9,26654
PE,B,3BB,0.00014954389113204728,9,26654
PE,B,3C,0.997295935937332,9,26654
PE,C,2C2,0.0028474544778892604,9,26654
PE,C,2I2,0.03092349495969447,9,26654
PE,C,2S2,0.10601612496496833,9,26654
PE,C,4CD,0.8602129255974479,9,26654
PE,D,2C3,0.0006120040666668208,9,26654
PE,D,2I3,0.03720360647674253,9,26654
PE,D,2S3,0.909186870023815,9,26654
PE,D,3C2,0.0034575596645377345,9,26654
PE,D,3I2,0.019701194728527976,9,26654
PE,D,3S2,0.029838765039709905,9,26654
PE,E,2D4,0.002691272587466359,9,26654
PE,E,2N4,0.0015898077989344528,9,26654
PE,E,2R4,0.0006770000986310991,9,26654
PE,E,3C3,0.00034826900066923204,9,26654
PE,E,3I1,0.004202365480783176,9,26654
PE,E,3I3,0.26237825662518666,9,26654
PE,E,3S3,0.728113028408329,9,26654
PE,F,3D4,0.03554928052928479,9,26654
